MAPID,VERSN,RELS,POSNO,PATH,DTYPE,GROUP,SEGM,DSTR,DELEM,ITEMID,LEVEL,DESCR,COUNT,MINOC,MAXOC,ESTAT,ETYPE,ELEN,CSTAT,CTYPE,CLEN,NOTES
nsm862,4010,1.5,025.02,/LIN/FST/JIT/REF/,FLD,JIT,REF,02,127,REF-02-127,,Reference Identification,,,,X,AN,1/30,M    ,,,"Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier. Note: Label Information, Van Date MMDD"
nsm862,4010,1.5,026,/LIN/FST/JIT,SGM,JIT,REF,,,REF+NC,,Reference Identification - NC=Secondary Coverage Company Number,120,,500,O,,,M,,,To specify identifying information
nsm862,4010,1.5,026.01,/LIN/FST/JIT/REF/,FLD,JIT,REF,01,128,REF-01-128,,Reference Identification Qualifier,,,,M,ID,2/3,R,,,"Code qualifying the Reference Identification. CodeList Summary (Total Codes: 1503, Included: 1). NC Secondary Coverage Company Number"
nsm862,4010,1.5,026.02,/LIN/FST/JIT/REF/,FLD,JIT,REF,02,127,REF-02-127,,Reference Identification,,,,X,AN,1/30,M    ,,,"Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier. Note: Label Information, ILN Company name"
nsm862,4010,1.5,027,/LIN/FST/JIT,SGM,JIT,REF,,,REF+VW,,Reference Identification - VW=Standard,120,,500,O,,,M,,,To specify identifying information
nsm862,4010,1.5,027.01,/LIN/FST/JIT/REF/,FLD,JIT,REF,01,128,REF-01-128,,Reference Identification Qualifier,,,,M,ID,2/3,R,,,"Code qualifying the Reference Identification. CodeList Summary (Total Codes: 1503, Included: 1). VW Standard"
nsm862,4010,1.5,027.02,/LIN/FST/JIT/REF/,FLD,JIT,REF,02,127,REF-02-127,,Reference Identification,,,,X,AN,1/30,M    ,,,"Reference information as defined for a particular Transaction Set or as specified by the Reference. Identification Qualifier Note: Label Information, Standar number of package"
nsm862,4010,1.5,028,/LIN/FST/JIT,SGM,JIT,REF,,,REF+4C,,Reference Identification - 4C=Shipment Destination Code,120,,500,O,,,M,,,To specify identifying information
nsm862,4010,1.5,028.01,/LIN/FST/JIT/REF/,FLD,JIT,REF,01,128,REF-01-128,,Reference Identification Qualifier,,,,M,ID,2/3,R,,,"Code qualifying the Reference Identification. CodeList Summary (Total Codes: 1503, Included: 1). 4C Shipment Destination Code"
nsm862,4010,1.5,028.02,/LIN/FST/JIT/REF/,FLD,JIT,REF,02,127,REF-02-127,,Reference Identification,,,,X,AN,1/30,M    ,,,"Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier. Note: Label Information, Discharge Code"
nsm862,4010,1.5,029,/LIN/FST/JIT,SGM,JIT,REF,,,REF+9H,,Reference Identification - 9H=Packaging Group Number,120,,500,O,,,M,,,To specify identifying information
nsm862,4010,1.5,029.01,/LIN/FST/JIT/REF/,FLD,JIT,REF,01,128,REF-01-128,,Reference Identification Qualifier,,,,M,ID,2/3,R,,,"Code qualifying the Reference Identification. CodeList Summary (Total Codes: 1503, Included: 1). 9H Packaging Group Number"
nsm862,4010,1.5,029.02,/LIN/FST/JIT/REF/,FLD,JIT,REF,02,127,REF-02-127,,Reference Identification,,,,X,AN,1/30,M    ,,,"Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier Note: Label Information, Module Code (Master)"
nsm862,4010,1.5,006,/,GRP,/,,,,/,0,,,,1,,,,,,,
nsm862,4010,1.5,030,/,SGM,/,CTT,,,CTT,,Transaction Totals,010,,1,O,,,M,,,To transmit a hash total for a specific element in the transaction set
nsm862,4010,1.5,030.01,/CTT/,FLD,/,CTT,01,354,CTT-01-354,,Number of Line Items,,,,M,N0,1/6,R,,,Total number of line items in the transaction set
nsm862,4010,1.5,031,/,SGM,/,SE,,,SE,,Transaction Set Trailer,020,,1,M,,,R,,,To indicate the end of the transaction set and provide the count of the transmitted segments (including the beginning (ST) and ending (SE) segments)
nsm862,4010,1.5,031.01,/SE/,FLD,/,SE,01,96,SE-01-96 ,,Number of Included Segments,,,,M,N0,1/10,R,,,Total number of segments included in a transaction set including ST and SE segments
nsm862,4010,1.5,031.01,/SE/,FLD,/,SE,02,329,SE-02-329,,Transaction Set Control Number,,,,M,AN,4/9,R,,,Identifying control number that must be unique within the transaction set functional group assigned by the originator for a transaction set
nsm862,4010,1.5,032,/,SGM,/,GE,,,GE,,Functional Group Trailer,,,1,M,,,R,,,To indicate the end of a functional group and to provide control information
nsm862,4010,1.5,032.01,/GE/,FLD,/,GE,01,97,GE-01-97 ,,Number of Transaction Sets Included,,,,M,N0,1/6,R,,,Total number of transaction sets included in the functional group or interchange (transmission) group terminated by the trailer containing this data element
nsm862,4010,1.5,032.02,/GE/,FLD,/,GE,02,28,GE-02-28 ,,Group Control Number,,,,M,N0,1/9,R,,,Assigned number originated and maintained by the sender
nsm862,4010,1.5,033,/,SGM,/,IEA,,,IEA,,Interchange Control Trailer,,,1,M,,,R,,,To define the end of an interchange of zero or more functional groups and interchange-related control segments
nsm862,4010,1.5,033.01,/IEA/,FLD,/,IEA,01,I16,IEA-01-I16,,Number of Included Functional Groups,,,,M,N0,1/5,R,,,A count of the number of functional groups included in an interchange
nsm862,4010,1.5,033.02,/IEA/,FLD,/,IEA,02,I12,IEA-02-I12,,Interchange Control Number,,,,M,N0,9/9,R,,,A control number assigned by the interchange sender
